serving_size,serving_count,calories,calories_pdv,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,total_sugars,added_sugars,protein,vitamin_d,vitamin_a,vitamin_c,calcium,iron,potassium,total_fat_pdv,saturated_fat_pdv,trans_fat_pdv,cholesterol_pdv,sodium_pdv,total_carbohydrate_pdv,dietary_fiber_pdv,total_sugars_pdv,added_sugars_pdv,protein_pdv,vitamin_d_pdv,vitamin_a_pdv,vitamin_c_pdv,calcium_pdv,iron_pdv,potassium_pdv,item_id
,,180.0,,7 g,4 g,0 g,25 mg,70 mg,27 g,2 g,14 g,,2 g,0.05 µg,58.33 µg,0.0 mg,20.64 mg,0.61 mg,49.4 mg,9,21,,8,3,10,6,27,,5,0,6,0,2,3,1,13
,,90.0,,6 g,0.5 g,0 g,0 mg,45 mg,10 g,4 g,2 g,,5 g,0.0 µg,539.36 µg,129.46 mg,163.86 mg,1.64 mg,535.28 mg,7,4,,0,2,4,14,5,,9,0,60,144,13,9,11,10
1.63 ea (46 g),,130.0,,10 g,4 g,0 g,0 mg,210 mg,1 g,1 g,0 g,,9 g,0.0 µg,0.0 µg,0.0 mg,30.04 mg,1.6 mg,140.01 mg,13,20,,0,9,0,4,,,18,0,0,0,2,9,3,12
,,70.0,,2 g,0 g,0 g,0 mg,45 mg,13 g,2 g,3 g,,1 g,0.0 µg,433.26 µg,1.5 mg,21.16 mg,0.5 mg,216.13 mg,3,1,,0,2,5,7,5,,2,0,48,2,2,3,5,9
113 g,,0.0,,0 g,0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,,0 g,0.0 µg,0.0 µg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,1
173 g,,290.0,,25 g,4.5 g,0 g,225 mg,105 mg,6 g,1 g,2 g,,9 g,0.0 µg,34.31 µg,23.89 mg,40.97 mg,1.47 mg,250.45 mg,32,23,,75,5,2,5,,,18,0,4,27,3,8,5,7
173 g,,290.0,,27 g,3 g,0 g,0 mg,180 mg,7 g,2 g,3 g,,6 g,0.0 µg,41.69 µg,29.03 mg,269.95 mg,1.11 mg,304.38 mg,34,16,,0,8,3,6,5,,11,0,5,32,21,6,6,8
19 g,,240.0,,23 g,8 g,0 g,40 mg,380 mg,0 g,0 g,0 g,,7 g,0.23 µg,6.4 µg,0.0 mg,2.91 mg,0.24 mg,115.14 mg,30,39,,13,17,0,0,1,,15,1,1,0,0,1,2,11
113 g,,140.0,,3 g,0 g,0 g,0 mg,140 mg,20 g,4 g,1 g,,8 g,0.0 µg,89.58 µg,8.1 mg,43.57 mg,2.64 mg,221.31 mg,4,2,,0,6,7,15,2,,16,0,10,9,3,15,5,3
,,90.0,,5 g,0.5 g,0 g,0 mg,75 mg,9 g,3 g,2 g,,4 g,0.0 µg,40.89 µg,117.51 mg,62.81 mg,1.0 mg,418.89 mg,7,4,,0,3,3,12,5,,7,0,5,131,5,6,9,4
,,160.0,,11 g,3.5 g,0 g,0 mg,230 mg,11 g,0 g,0 g,,2 g,0.0 µg,0.5 µg,0.11 mg,8.46 mg,0.01 mg,2.23 mg,15,17,,0,10,4,3,1,,4,0,0,0,1,0,0,5
,,610.0,,30 g,10 g,0 g,50 mg,310 mg,78 g,0 g,35 g,,6 g,0.44 µg,73.78 µg,1.09 mg,125.99 mg,4.18 mg,114.08 mg,38,50,,17,14,28,3,70,,12,2,8,1,10,23,2,6
243 g,,480.0,,27 g,11 g,1 g,85 mg,330 mg,34 g,4 g,3 g,,27 g,0.19 µg,91.59 µg,13.68 mg,242.3 mg,4.23 mg,534.72 mg,34,55,,28,14,12,13,,,54,1,10,15,19,24,11,2
,,420.0,,9 g,5 g,0 g,60 mg,500 mg,77 g,2 g,36 g,,8 g,0.65 µg,92.66 µg,2.45 mg,154.91 mg,2.94 mg,135.1 mg,11,25,,20,22,28,7,72,,16,3,10,3,12,16,3,20
0.91 ea (56 g),,220.0,,11 g,1.5 g,0 g,0 mg,100 mg,29 g,4 g,13 g,,5 g,0.0 µg,0.26 µg,0.28 mg,37.06 mg,1.46 mg,173.04 mg,14,7,,0,4,10,13,,,9,0,0,0,3,8,4,14
57 g,,80.0,,5 g,2 g,0 g,210 mg,80 mg,0 g,0 g,0 g,,7 g,1.13 µg,90.72 µg,0.0 mg,31.75 mg,0.99 mg,78.24 mg,7,9,,70,4,0,0,,,14,6,10,0,2,6,2,15
200 g,,110.0,,2 g,0 g,0 g,0 mg,5 mg,19 g,3 g,0 g,,5 g,0.0 µg,0.0 µg,0.0 mg,20.78 mg,1.34 mg,123.44 mg,3,2,,0,0,7,11,,,10,0,0,0,2,7,3,16
598 g,,400.0,,0 g,0 g,0 g,0 mg,3230 mg,347 g,12 g,48 g,,60 g,0.0 µg,0.0 µg,14.35 mg,239.2 mg,21.53 mg,0.0 mg,0,0,,0,140,126,43,,,120,0,0,16,18,120,0,18
243 g,,210.0,,10 g,3 g,0 g,10 mg,160 mg,24 g,4 g,15 g,,9 g,1.36 µg,330.07 µg,21.29 mg,202.1 mg,1.97 mg,765.45 mg,13,15,,3,7,9,13,,,18,7,37,24,16,11,16,19
113 g,,100.0,,2 g,1.5 g,0 g,10 mg,120 mg,14 g,0 g,5 g,,5 g,1.21 µg,224.41 µg,0.2 mg,165.94 mg,3.63 mg,155.61 mg,3,7,,3,5,5,2,,,9,6,25,0,13,20,3,17
353 g,,490.0,,24 g,2.5 g,0 g,0 mg,560 mg,51 g,8 g,1 g,,17 g,0.0 µg,36.89 µg,7.98 mg,419.86 mg,4.62 mg,687.61 mg,31,13,,0,24,19,29,,,35,0,4,9,32,26,15,27
,,80.0,,5 g,0.5 g,0 g,0 mg,95 mg,8 g,0 g,0 g,,1 g,0.0 µg,0.21 µg,0.01 mg,14.98 mg,0.61 mg,3.53 mg,6,3,,0,4,3,2,0,,3,0,0,0,1,3,0,29
353 g,,510.0,,22 g,5 g,0 g,420 mg,200 mg,52 g,8 g,2 g,,26 g,2.26 µg,217.7 µg,7.98 mg,150.03 mg,5.93 mg,838.23 mg,29,26,,140,8,19,28,,,52,11,24,9,12,33,18,26
2.11 ea (60 g),,260.0,,12 g,7 g,0 g,40 mg,210 mg,36 g,1 g,21 g,,3 g,0.13 µg,76.27 µg,0.0 mg,19.05 mg,1.31 mg,119.16 mg,15,35,,13,9,13,4,,,6,1,8,0,1,7,3,30
170 g,,60.0,,0 g,0 g,0 g,0 mg,20 mg,14 g,2 g,12 g,,1 g,0.0 µg,98.09 µg,64.35 mg,17.58 mg,0.44 mg,367.4 mg,0,0,,0,1,5,7,24,,2,0,11,72,1,2,8,28
85 g,,80.0,,0.5 g,0 g,0 g,0 mg,300 mg,19 g,3 g,8 g,,4 g,0.0 µg,6.28 µg,0.46 mg,30.83 mg,1.0 mg,207.41 mg,1,0,,0,13,7,11,17,,7,0,1,1,2,6,4,23
7.36 ea (209 g),,600.0,,40 g,11 g,0 g,180 mg,260 mg,10 g,0 g,8 g,,45 g,0.48 µg,107.7 µg,13.38 mg,43.24 mg,2.57 mg,575.59 mg,51,53,,60,11,4,2,,,89,2,12,15,3,14,12,21
253 g,,600.0,,26 g,9 g,0 g,0 mg,1150 mg,64 g,8 g,6 g,,30 g,0.0 µg,109.7 µg,53.91 mg,1751.62 mg,3.19 mg,199.64 mg,33,47,,0,50,23,28,,,61,0,12,60,135,18,4,22
3.72 ea (105 g),,330.0,,5 g,3 g,0 g,10 mg,490 mg,72 g,3 g,53 g,,4 g,0.23 µg,38.51 µg,0.04 mg,132.0 mg,2.36 mg,209.92 mg,6,15,,3,21,26,12,106,,8,1,4,0,10,13,4,25
,,60.0,,3 g,0 g,0 g,0 mg,15 mg,8 g,3 g,4 g,,2 g,0.0 µg,38.85 µg,13.53 mg,41.67 mg,1.17 mg,235.84 mg,4,2,,0,1,3,11,7,,4,0,4,15,3,7,5,24
145 g,,160.0,,4 g,1.5 g,0 g,5 mg,90 mg,26 g,2 g,23 g,,7 g,0.0 µg,16.34 µg,1.19 mg,239.64 mg,0.52 mg,304.21 mg,5,7,,2,4,9,6,,,14,0,2,1,18,3,6,31
,,210.0,,13 g,6 g,0 g,25 mg,105 mg,19 g,0 g,4 g,,5 g,0.07 µg,94.74 µg,0.12 mg,50.11 mg,1.53 mg,62.24 mg,16,32,,9,4,7,2,8,,10,0,11,0,4,9,1,32
113 g,,150.0,,3.5 g,0 g,0 g,0 mg,330 mg,24 g,3 g,1 g,,6 g,0.0 µg,76.43 µg,4.05 mg,51.27 mg,1.77 mg,251.84 mg,4,2,,0,15,9,11,,,12,0,8,5,4,10,5,52
,,240.0,,4 g,0.5 g,0 g,55 mg,820 mg,32 g,0 g,4 g,,18 g,0.0 µg,7.02 µg,0.57 mg,26.64 mg,1.0 mg,294.74 mg,5,4,,18,36,12,2,7,,37,0,1,1,2,6,6,50
2.31 ea (66 g),,260.0,,12 g,7 g,0 g,65 mg,115 mg,38 g,3 g,26 g,,4 g,0.26 µg,105.89 µg,0.0 mg,33.73 mg,1.61 mg,128.58 mg,16,37,,21,5,14,9,52,,7,1,12,0,3,9,3,54
1.03 cup (28 g),,160.0,,17 g,1.5 g,0 g,0 mg,0 mg,1 g,0 g,0 g,,0 g,0.0 µg,0.55 µg,8.84 mg,9.29 mg,0.07 mg,15.11 mg,22,6,,0,0,1,3,,,0,0,0,10,1,0,0,48
94 g,,60.0,,3.5 g,0 g,0 g,0 mg,15 mg,8 g,2 g,3 g,,2 g,0.0 µg,153.95 µg,16.62 mg,92.95 mg,1.38 mg,185.65 mg,4,2,,0,1,3,8,,,4,0,17,18,7,8,4,47
171 g,,160.0,,10 g,1.5 g,0 g,0 mg,150 mg,16 g,5 g,3 g,,5 g,0.0 µg,47.5 µg,139.3 mg,107.18 mg,1.57 mg,566.03 mg,13,7,,0,6,6,17,,,11,0,5,155,8,9,12,53
244 g,,100.0,,4 g,2 g,0 g,10 mg,580 mg,16 g,2 g,5 g,,2 g,0.02 µg,711.16 µg,21.42 mg,64.37 mg,1.07 mg,516.28 mg,5,11,,4,25,6,7,,,4,0,79,24,5,6,11,33
3 ea (85 g),,100.0,,7 g,1 g,0 g,0 mg,80 mg,6 g,3 g,3 g,,4 g,0.0 µg,169.16 µg,16.79 mg,34.57 mg,0.94 mg,261.43 mg,9,4,,0,3,2,9,,,8,0,19,19,3,5,6,49
,,200.0,,4.5 g,0.5 g,0 g,0 mg,800 mg,34 g,1 g,4 g,,7 g,0.0 µg,0.48 µg,0.68 mg,136.98 mg,1.64 mg,136.26 mg,6,4,,0,35,12,4,8,,14,0,0,1,11,9,3,51
,,110.0,,0 g,0 g,0 g,0 mg,10 mg,21 g,0 g,0 g,,4 g,0.0 µg,0.0 µg,0.0 mg,6.81 mg,0.93 mg,63.5 mg,1,0,,0,0,8,3,2,,7,0,0,0,1,5,1,43
,,620.0,,40 g,16 g,0 g,135 mg,740 mg,34 g,3 g,5 g,,30 g,0.24 µg,57.57 µg,8.53 mg,171.57 mg,4.25 mg,585.34 mg,52,79,,44,32,12,9,10,,61,1,6,9,13,24,12,34
28 g,,90.0,,2.5 g,0 g,0 g,0 mg,190 mg,15 g,0 g,0 g,,2 g,0.0 µg,0.0 µg,0.0 mg,24.81 mg,1.06 mg,35.0 mg,3,1,,0,8,5,1,1,,5,0,0,0,2,6,1,41
1 cup (28 g),,25.0,,1.5 g,0.5 g,0 g,3 mg,10 mg,1 g,0 g,0 g,,2 g,0.0 µg,0.83 µg,0.26 mg,22.63 mg,0.03 mg,40.21 mg,2,3,,1,0,0,0,2,,4,0,0,0,2,0,1,40
127 g,,70.0,,2.5 g,0 g,0 g,0 mg,90 mg,12 g,4 g,6 g,,1 g,0.0 µg,1040.45 µg,7.35 mg,41.44 mg,0.39 mg,399.64 mg,3,2,,0,4,4,13,12,,2,0,116,8,3,2,9,37
,,470.0,,16 g,1.5 g,0 g,0 mg,730 mg,69 g,8 g,6 g,,15 g,0.18 µg,48.09 µg,14.61 mg,203.91 mg,6.88 mg,437.54 mg,20,8,,0,32,25,27,11,,30,1,5,16,16,38,9,35
,,100.0,,0 g,0 g,0 g,0 mg,20 mg,17 g,2 g,0 g,,7 g,0.0 µg,0.0 µg,0.0 mg,11.16 mg,1.86 mg,0.29 mg,0,0,,0,1,6,7,1,,14,0,0,0,1,10,0,44
1.25 cup (36 g),,20.0,,1.5 g,0 g,0 g,0 mg,15 mg,2 g,0 g,0 g,,0 g,0.0 µg,6.46 µg,4.26 mg,12.76 mg,0.21 mg,66.36 mg,2,1,,0,1,1,2,2,,1,0,1,5,1,1,1,45
85 g,,360.0,,32 g,6 g,0 g,0 mg,510 mg,9 g,2 g,5 g,,8 g,0 µg,65.45 µg,0 mg,260.1 mg,0.48 mg,476 mg,41,30,,0,22,3,5,,,17,0,7,0,20,3,10,46
,,500.0,,24 g,9 g,0 g,85 mg,240 mg,65 g,0 g,45 g,,8 g,1.98 µg,68.89 µg,1.23 mg,166.32 mg,2.37 mg,256.44 mg,30,43,,28,10,23,2,90,,16,10,8,1,13,13,5,42
14 g,,0.0,,0 g,0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,,0 g,0.0 µg,5.88 µg,1.92 mg,1.4 mg,0.04 mg,33.18 mg,0,0,,0,0,0,1,1,,0,0,1,2,0,0,1,39
,,0.0,,0 g,0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,,0 g,0.0 µg,7.0 µg,0.78 mg,5.04 mg,0.11 mg,39.48 mg,0,0,,0,0,0,1,1,,1,0,1,1,0,1,1,38
,,100.0,,1.5 g,0 g,0 g,0 mg,20 mg,19 g,1 g,0 g,,3 g,0.0 µg,5.56 µg,1.93 mg,11.34 mg,0.9 mg,76.47 mg,2,1,,0,1,7,5,1,,7,0,1,2,1,5,2,36
4.21 ea (119 g),,310.0,,11 g,1 g,0 g,30 mg,290 mg,48 g,1 g,22 g,,5 g,0.21 µg,16.92 µg,0.42 mg,134.29 mg,1.92 mg,88.64 mg,14,6,,10,12,17,5,44,,10,1,2,0,10,11,2,55
,,70.0,,3 g,0 g,0 g,0 mg,900 mg,11 g,2 g,2 g,,2 g,0.0 µg,106.68 µg,5.66 mg,21.06 mg,0.64 mg,191.94 mg,4,2,,0,39,4,8,5,,4,0,12,6,2,4,4,56
3 ea (85 g),,100.0,,5 g,1 g,0 g,3 mg,75 mg,14 g,2 g,8 g,,2 g,0.01 µg,499.0 µg,7.92 mg,42.14 mg,0.99 mg,337.46 mg,7,6,,1,3,5,9,,,3,0,55,9,3,6,7,63
,,560.0,,21 g,12 g,0 g,85 mg,260 mg,88 g,2 g,43 g,,7 g,0.24 µg,177.75 µg,0.0 mg,20.53 mg,2.86 mg,226.13 mg,26,62,,29,11,32,5,87,,15,1,20,0,2,16,5,68
170 g,,100.0,,6 g,1 g,0 g,0 mg,45 mg,10 g,4 g,4 g,,3 g,0.0 µg,0.24 µg,65.4 mg,45.41 mg,0.99 mg,455.57 mg,7,5,,0,2,4,13,,,6,0,0,73,3,6,10,67
,,210.0,,0 g,0 g,0 g,0 mg,5 mg,46 g,2 g,0 g,,4 g,0.0 µg,0.0 µg,0.0 mg,7.95 mg,0.91 mg,44.26 mg,0,0,,0,0,17,6,0,,8,0,0,0,1,5,1,66
270 g,,390.0,,31 g,18 g,0 g,0 mg,260 mg,22 g,2 g,2 g,,12 g,0.0 µg,24.73 µg,8.61 mg,204.28 mg,5.0 mg,514.22 mg,40,93,,0,11,8,9,,,24,0,3,10,16,28,11,65
270 g,,380.0,,27 g,17 g,0 g,125 mg,750 mg,21 g,2 g,3 g,,16 g,0.14 µg,96.04 µg,8.32 mg,84.65 mg,3.35 mg,473.18 mg,35,86,,41,32,8,6,,,33,1,11,9,7,19,10,64
170 g,,350.0,,14 g,4 g,0 g,225 mg,500 mg,41 g,3 g,5 g,,16 g,0.1 µg,32.2 µg,0.12 mg,158.36 mg,3.64 mg,28.49 mg,18,21,,74,22,15,11,,,33,1,4,0,12,20,1,59
,,190.0,,13 g,4.5 g,0 g,420 mg,160 mg,0 g,0 g,0 g,,15 g,0.0 µg,8.97 µg,0.0 mg,49.62 mg,1.79 mg,0.31 mg,17,22,,141,7,0,0,0,,30,0,1,0,4,10,0,57
100 g,,120.0,,11 g,1 g,0 g,0 mg,460 mg,0 g,0 g,0 g,,5 g,0.0 µg,0.1 µg,0.0 mg,293.36 mg,0.61 mg,4.78 mg,14,5,,0,20,0,0,,,10,0,0,0,23,3,0,58
113 g,,45.0,,5 g,0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,,0 g,0.0 µg,0.02 µg,0.18 mg,3.32 mg,0.01 mg,5.48 mg,6,2,,0,0,0,0,0,,0,0,0,0,0,0,0,60
,,80.0,,4.5 g,1 g,0 g,40 mg,420 mg,2 g,0 g,0 g,,9 g,0.0 µg,0.0 µg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,6,5,,14,18,1,0,0,,18,0,0,0,0,0,0,61
65 g,,40.0,,2 g,1 g,0 g,50 mg,10 mg,5 g,0 g,4 g,,1 g,0.5 µg,33.25 µg,0.04 mg,30.17 mg,0.21 mg,34.29 mg,3,5,,16,1,2,0,9,,3,3,4,0,2,1,1,62
5.13 ea (146 g),,540.0,,21 g,9 g,0 g,50 mg,120 mg,81 g,3 g,45 g,,8 g,0.34 µg,126.55 µg,0.18 mg,67.36 mg,2.6 mg,156.57 mg,27,46,,16,5,29,9,,,16,2,14,0,5,14,3,69
,,420.0,,20 g,9 g,0 g,0 mg,1320 mg,59 g,2 g,4 g,,9 g,0.0 µg,0.0 µg,0.0 mg,652.57 mg,27.97 mg,0.0 mg,25,47,,0,57,22,6,9,,17,0,0,0,50,155,0,79
,,380.0,,24 g,12 g,0 g,35 mg,180 mg,39 g,2 g,27 g,,5 g,0.05 µg,108.02 µg,0.75 mg,100.44 mg,1.42 mg,184.71 mg,31,61,,12,8,14,9,53,,9,0,12,1,8,8,4,82
,,600.0,,32 g,18 g,1 g,90 mg,1350 mg,47 g,2 g,2 g,,31 g,0.54 µg,297.26 µg,0.0 mg,729.39 mg,2.89 mg,94.84 mg,41,88,,30,59,17,6,5,,63,3,33,0,56,16,2,78
57 g,,90.0,,9 g,1.5 g,0 g,0 mg,20 mg,2 g,0 g,1 g,,1 g,0.0 µg,50.64 µg,7.9 mg,69.12 mg,0.7 mg,164.11 mg,12,7,,0,1,1,3,2,,2,0,6,9,5,4,3,81
,,130.0,,6 g,1 g,0 g,0 mg,100 mg,20 g,4 g,12 g,,2 g,0.0 µg,766.12 µg,11.13 mg,49.68 mg,0.6 mg,414.39 mg,8,6,,0,4,7,15,24,,4,0,85,12,4,3,9,80
3 ea (85 g),,120.0,,5 g,0.5 g,0 g,0 mg,20 mg,15 g,4 g,3 g,,4 g,0.0 µg,45.36 µg,10.98 mg,29.61 mg,1.43 mg,218.55 mg,7,4,,0,1,5,13,,,8,0,5,12,2,8,5,77
241 g,,120.0,,7 g,3 g,0 g,15 mg,740 mg,14 g,3 g,7 g,,3 g,0.07 µg,108.93 µg,30.61 mg,53.98 mg,0.72 mg,494.1 mg,9,14,,5,32,5,10,,,6,0,12,34,4,4,11,70
186 g,,240.0,,8 g,0.5 g,0 g,0 mg,570 mg,31 g,5 g,2 g,,12 g,0.0 µg,136.8 µg,5.43 mg,45.44 mg,3.33 mg,103.84 mg,10,3,,0,25,11,18,,,24,0,15,6,3,19,2,72
113 g,,50.0,,2 g,0 g,0 g,0 mg,125 mg,6 g,4 g,0 g,,5 g,0.0 µg,750.84 µg,44.99 mg,158.51 mg,4.35 mg,893.34 mg,3,1,,0,6,2,13,1,,9,0,83,50,12,24,19,74
2.92 ea (83 g),,330.0,,17 g,10 g,0 g,70 mg,290 mg,42 g,0 g,26 g,,4 g,0.2 µg,139.66 µg,0.04 mg,49.22 mg,1.39 mg,65.31 mg,22,49,,23,12,15,3,,,8,1,16,0,4,8,1,76
1.91 fl oz (54 g),,110.0,,0.5 g,0 g,0 g,0 mg,180 mg,21 g,0 g,0 g,,4 g,0.0 µg,0.0 µg,0.0 mg,5.25 mg,1.26 mg,32.07 mg,1,0,,0,8,8,3,,,7,0,0,0,0,7,1,75
,,300.0,,10 g,2 g,0 g,135 mg,150 mg,22 g,1 g,19 g,,29 g,0.0 µg,39.0 µg,62.58 mg,40.33 mg,1.55 mg,653.96 mg,13,11,,44,6,8,4,37,,58,0,4,70,3,9,14,71
113 g,,150.0,,5 g,0 g,0 g,0 mg,350 mg,19 g,3 g,0 g,,7 g,0.0 µg,83.11 µg,3.3 mg,27.61 mg,2.02 mg,63.09 mg,6,2,,0,15,7,11,,,14,0,9,4,2,11,1,73
,,330.0,,10 g,6 g,0 g,60 mg,370 mg,52 g,1 g,25 g,,6 g,0.52 µg,99.48 µg,0.06 mg,151.83 mg,2.12 mg,90.8 mg,13,30,,21,16,19,4,49,,11,3,11,0,12,12,2,83
,,180.0,,0 g,0 g,0 g,0 mg,10 mg,41 g,3 g,1 g,,5 g,0.0 µg,4.95 µg,14.24 mg,31.58 mg,1.99 mg,952.46 mg,0,0,,0,0,15,11,3,,10,0,1,16,2,11,20,93
,,170.0,,10 g,3 g,0 g,15 mg,170 mg,18 g,0 g,10 g,,3 g,0.17 µg,18.52 µg,0.02 mg,30.49 mg,0.36 mg,66.64 mg,12,14,,5,7,7,2,21,,6,1,2,0,2,2,1,94
,,110.0,,3.5 g,0 g,0.5 g,0 mg,150 mg,19 g,5 g,4 g,,5 g,0.0 µg,97.78 µg,30.26 mg,56.8 mg,2.3 mg,379.38 mg,4,2,,0,7,7,17,8,,9,0,11,34,4,13,8,92
,,60.0,,1.5 g,0 g,0 g,10 mg,90 mg,7 g,0 g,1 g,,5 g,0.0 µg,75.48 µg,1.1 mg,15.54 mg,0.3 mg,124.97 mg,2,1,,4,4,3,2,3,,9,0,8,1,1,2,3,84
3 ea (85 g),,290.0,,6 g,0.5 g,0 g,0 mg,0 mg,53 g,9 g,9 g,,9 g,0.0 µg,19.01 µg,2.27 mg,41.42 mg,2.4 mg,171.64 mg,8,3,,0,0,19,32,,,18,0,2,3,3,13,4,90
184 g,,310.0,,21 g,7 g,1 g,70 mg,170 mg,10 g,3 g,3 g,,19 g,0.09 µg,34.04 µg,27.03 mg,50.01 mg,3.0 mg,505.69 mg,27,37,,23,7,4,10,,,38,0,4,30,4,17,11,91
257 g,,710.0,,53 g,13 g,0 g,180 mg,220 mg,13 g,4 g,8 g,,46 g,0.46 µg,126.5 µg,31.61 mg,128.35 mg,3.75 mg,618.39 mg,67,64,,60,9,5,13,,,93,2,14,35,10,21,13,85
1.01 cup (28 g),,45.0,,4 g,0.5 g,0 g,0 mg,10 mg,2 g,0 g,1 g,,0 g,0.0 µg,53.9 µg,8.12 mg,13.06 mg,0.45 mg,98.15 mg,5,3,,0,1,1,2,,,1,0,6,9,1,3,2,88
4.06 ea (115 g),,320.0,,14 g,8 g,0 g,60 mg,40 mg,47 g,2 g,26 g,,4 g,0.2 µg,125.78 µg,10.55 mg,40.27 mg,1.55 mg,63.3 mg,17,40,,21,2,17,8,,,8,1,14,12,3,9,1,89
141 g,,80.0,,3 g,0 g,0 g,0 mg,90 mg,12 g,5 g,4 g,,4 g,0.0 µg,12.8 µg,23.6 mg,42.09 mg,1.24 mg,340.46 mg,4,2,,0,4,5,16,,,7,0,1,26,3,7,7,87
,,110.0,,4 g,0.5 g,0 g,0 mg,130 mg,17 g,6 g,6 g,,5 g,0.0 µg,18.02 µg,33.2 mg,59.22 mg,1.74 mg,478.92 mg,5,3,,0,6,6,23,11,,10,0,2,37,5,10,10,86
1.4 ea (40 g),,150.0,,9 g,4.5 g,0 g,35 mg,270 mg,11 g,0 g,0 g,,6 g,0.16 µg,64.03 µg,0.16 mg,135.98 mg,0.97 mg,55.64 mg,12,22,,12,12,4,2,,,11,1,7,0,10,5,1,95
213 g,,540.0,,18 g,4 g,0 g,0 mg,1050 mg,82 g,9 g,13 g,,13 g,0.0 µg,948.11 µg,6.22 mg,149.85 mg,2.0 mg,416.35 mg,24,19,,0,46,30,31,,,25,0,105,7,12,11,9,105
263 g,,660.0,,26 g,3.5 g,0 g,35 mg,1540 mg,70 g,4 g,15 g,,37 g,0.18 µg,515.27 µg,4.81 mg,217.53 mg,3.81 mg,118.93 mg,34,18,,12,67,26,13,,,75,1,57,5,17,21,3,104
200 g,,100.0,,2.5 g,1.5 g,0 g,15 mg,570 mg,12 g,0 g,2 g,,7 g,0.0 µg,51.64 µg,3.58 mg,44.84 mg,1.14 mg,176.96 mg,3,7,,6,25,4,3,4,,14,0,6,4,3,6,4,96
3.5 ea (85 g),,30.0,,1 g,0 g,0 g,0 mg,25 mg,6 g,2 g,3 g,,0 g,0.0 µg,29.47 µg,26.92 mg,29.04 mg,0.46 mg,117.04 mg,1,1,,0,1,2,6,,,2,0,3,30,2,3,2,103
,,170.0,,8 g,1 g,0 g,0 mg,130 mg,32 g,5 g,12 g,,2 g,0.0 µg,393.72 µg,6.81 mg,47.17 mg,0.7 mg,371.03 mg,10,5,,0,6,12,18,23,,4,0,44,8,4,4,8,106
,,310.0,,13 g,8 g,0 g,55 mg,220 mg,44 g,0 g,28 g,,3 g,0.15 µg,117.02 µg,0.01 mg,49.65 mg,1.25 mg,63.04 mg,17,41,,18,10,16,3,56,,6,1,13,0,4,7,1,108
3.5 ea (85 g),,30.0,,1 g,0 g,0 g,0 mg,25 mg,6 g,2 g,3 g,,0 g,0.0 µg,29.47 µg,26.92 mg,29.04 mg,0.46 mg,117.04 mg,1,1,,0,1,2,6,,,2,0,3,30,2,3,2,107
162 g,,400.0,,28 g,3 g,0 g,80 mg,550 mg,6 g,1 g,0 g,,29 g,0.0 µg,33.13 µg,9.38 mg,49.62 mg,1.73 mg,803.03 mg,36,16,,26,24,2,4,,,58,0,4,10,4,10,17,97
,,150.0,,0.5 g,0 g,0 g,0 mg,125 mg,34 g,0 g,21 g,,2 g,0.14 µg,91.92 µg,1.6 mg,53.18 mg,1.01 mg,90.25 mg,1,0,,0,5,12,3,41,,4,1,10,2,4,6,2,102
28 g,,25.0,,0 g,0 g,0 g,0 mg,10 mg,7 g,0 g,6 g,,0 g,0.0 µg,7.17 µg,4.93 mg,3.14 mg,0.1 mg,41.8 mg,0,0,,0,0,3,1,,,0,0,1,5,0,1,1,101
170 g,,160.0,,8 g,5 g,0 g,20 mg,25 mg,19 g,2 g,13 g,,1 g,0.0 µg,114.27 µg,52.62 mg,45.24 mg,0.75 mg,250.14 mg,11,26,,7,1,7,8,,,3,0,13,58,3,4,5,100
187 g,,290.0,,24 g,2.5 g,0 g,0 mg,500 mg,9 g,2 g,2 g,,11 g,0.0 µg,16.12 µg,9.61 mg,260.53 mg,2.43 mg,276.31 mg,31,13,,0,22,3,7,,,22,0,2,11,20,14,6,98
4.03 ea (114 g),,230.0,,11 g,9 g,0 g,0 mg,45 mg,30 g,1 g,2 g,,4 g,0.0 µg,2.13 µg,1.08 mg,15.39 mg,1.79 mg,171.91 mg,14,47,,0,2,11,4,4,,8,0,0,1,1,10,4,99
6.67 ea (189 g),,280.0,,7 g,4 g,0 g,40 mg,310 mg,46 g,0 g,24 g,,8 g,1.72 µg,111.74 µg,0.26 mg,218.73 mg,1.61 mg,234.11 mg,9,21,,14,13,17,3,48,,16,9,12,0,17,9,5,109
,,220.0,,9 g,5 g,0 g,20 mg,60 mg,32 g,3 g,19 g,,2 g,0.0 µg,66.49 µg,4.25 mg,33.62 mg,1.14 mg,47.71 mg,11,25,,7,3,12,10,38,,5,0,7,5,3,6,1,114
