serving_size,serving_count,calories,calories_pdv,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,total_sugars,added_sugars,protein,vitamin_d,vitamin_a,vitamin_c,calcium,iron,potassium,total_fat_pdv,saturated_fat_pdv,trans_fat_pdv,cholesterol_pdv,sodium_pdv,total_carbohydrate_pdv,dietary_fiber_pdv,total_sugars_pdv,added_sugars_pdv,protein_pdv,vitamin_d_pdv,vitamin_a_pdv,vitamin_c_pdv,calcium_pdv,iron_pdv,potassium_pdv,item_id
169 g,,320.0,,14 g,5 g,0 g,95 mg,1230 mg,14 g,0 g,12 g,,32 g,1.28 µg,6.74 µg,1.32 mg,58.05 mg,1.84 mg,483.86 mg,18,25,,31,53,5,1,25,,63,6,1,1,4,10,10,12419
177 g,,35.0,,1.5 g,0 g,0 g,0 mg,930 mg,4 g,0 g,0 g,,2 g,0.0 µg,37.9 µg,1.04 mg,54.16 mg,0.73 mg,75.6 mg,2,1,,0,41,2,2,1,,5,0,4,1,4,4,2,12872
6.19 ea (227 g),,270.0,,13 g,2 g,0 g,0 mg,480 mg,19 g,3 g,3 g,,24 g,0.0 µg,15.59 µg,43.43 mg,404.11 mg,3.88 mg,524.39 mg,17,9,,0,21,7,12,7,,47,0,2,48,31,22,11,12421
3 cup (85 g),,150.0,,11 g,1 g,0 g,0 mg,5 mg,12 g,1 g,1 g,,3 g,0.0 µg,6.71 µg,7.51 mg,12.36 mg,0.99 mg,140.29 mg,14,5,,0,0,4,5,3,,6,0,1,8,1,6,3,12376
141 g,,150.0,,8 g,1.5 g,0 g,0 mg,65 mg,11 g,2 g,6 g,,11 g,0.0 µg,27.16 µg,4.62 mg,240.84 mg,2.52 mg,251.42 mg,10,7,,0,3,4,8,11,,21,0,3,5,19,14,5,12328
4 ea (113 g),,290.0,,15 g,9 g,0 g,75 mg,210 mg,37 g,2 g,19 g,,4 g,0.89 µg,86.67 µg,0.97 mg,68.88 mg,1.02 mg,117.07 mg,19,43,,25,9,13,7,37,,9,4,10,1,5,6,2,12330
,,80.0,,5 g,0.5 g,0 g,0 mg,80 mg,8 g,3 g,4 g,,2 g,0.0 µg,5.87 µg,42.71 mg,55.54 mg,0.69 mg,217.74 mg,6,3,,0,3,3,11,7,,4,0,1,47,4,4,5,12329
162 g,,390.0,,26 g,3.5 g,0 g,135 mg,640 mg,6 g,1 g,0 g,,29 g,0.0 µg,26.76 µg,10.06 mg,44.91 mg,1.8 mg,459.82 mg,34,17,,45,28,2,4,2,,58,0,3,11,3,10,10,12327
128 g,,80.0,,0.5 g,0 g,0 g,0 mg,0 mg,21 g,5 g,14 g,,1 g,0.0 µg,5.04 µg,42.09 mg,31.22 mg,0.63 mg,165.98 mg,1,0,,0,0,8,19,29,,2,0,1,47,2,4,4,12425
258 g,,370.0,,13 g,3 g,0 g,180 mg,380 mg,14 g,0 g,12 g,,46 g,0.0 µg,72.19 µg,8.36 mg,39.63 mg,2.79 mg,556.74 mg,17,15,,60,17,5,3,25,,92,0,8,9,3,16,12,12423
1.18 cup (33 g),,30.0,,0 g,0 g,0 g,0 mg,0 mg,8 g,1 g,4 g,,0 g,0.0 µg,0.84 µg,1.0 mg,5.03 mg,0.17 mg,20.35 mg,0,0,,0,0,3,4,8,,0,0,0,1,0,1,0,12873
,,210.0,,18 g,5 g,0 g,0 mg,630 mg,9 g,0 g,3 g,,2 g,0.6 µg,0.0 µg,3.61 mg,71.81 mg,0.57 mg,79.8 mg,23,27,,0,28,3,1,6,,4,3,0,4,6,3,2,12424
120 g,,120.0,,10 g,1.5 g,0 g,0 mg,25 mg,7 g,2 g,2 g,,1 g,0.0 µg,31.16 µg,107.46 mg,25.91 mg,0.65 mg,299.88 mg,13,7,,0,1,3,6,4,,2,0,3,119,2,4,6,12427
,,70.0,,1 g,0 g,0 g,0 mg,40 mg,14 g,2 g,2 g,,2 g,0.0 µg,93.04 µg,23.7 mg,14.11 mg,0.67 mg,389.32 mg,1,1,,0,2,5,7,4,,4,0,10,26,1,4,8,12426
140 g,,90.0,,4 g,0 g,0 g,0 mg,40 mg,13 g,4 g,5 g,,3 g,0.0 µg,55.03 µg,18.54 mg,65.56 mg,1.36 mg,328.87 mg,5,2,,0,2,5,14,10,,5,0,6,21,5,8,7,12363
,,10.0,,0.5 g,0 g,0 g,0 mg,5 mg,1 g,0 g,0 g,,0 g,0.0 µg,9.19 µg,1.8 mg,16.01 mg,0.13 mg,56.74 mg,1,1,,1,0,0,1,2,,1,0,1,2,1,1,1,12361
3.48 ea (99 g),,320.0,,18 g,10 g,0 g,55 mg,250 mg,39 g,3 g,25 g,,4 g,0.19 µg,93.6 µg,4.6 mg,41.16 mg,1.01 mg,39.78 mg,23,52,,18,11,14,12,51,,7,1,10,5,3,6,1,12364
142 g,,80.0,,5 g,1 g,0 g,0 mg,45 mg,7 g,3 g,3 g,,3 g,0.0 µg,4.1 µg,67.35 mg,33.88 mg,0.75 mg,415.31 mg,6,4,,0,2,3,10,5,,5,0,0,75,3,4,9,1476
270 g,,390.0,,31 g,18 g,0 g,0 mg,190 mg,22 g,2 g,2 g,,12 g,0.0 µg,24.73 µg,8.61 mg,204.26 mg,5.0 mg,514.13 mg,40,91,,0,8,8,9,4,,24,0,3,10,16,28,11,12360
144 g,,130.0,,0.5 g,0 g,0 g,0 mg,140 mg,31 g,5 g,6 g,,3 g,0.0 µg,1004.59 µg,6.47 mg,62.97 mg,1.61 mg,521.67 mg,1,0,,0,6,11,18,12,,5,0,112,7,5,9,11,12362
182 g,,210.0,,7 g,2 g,0 g,145 mg,180 mg,5 g,1 g,2 g,,31 g,0.0 µg,28.74 µg,3.11 mg,61.02 mg,2.2 mg,495.68 mg,9,9,,48,8,2,4,3,,63,0,3,3,5,12,11,12359
86 g,,110.0,,4 g,0.5 g,0 g,0 mg,30 mg,16 g,2 g,1 g,,4 g,0.0 µg,8.26 µg,4.69 mg,21.44 mg,1.15 mg,202.77 mg,5,3,,0,1,6,9,2,,7,0,1,5,2,6,4,12882
113 g,,60.0,,3 g,0 g,0 g,0 mg,45 mg,6 g,2 g,2 g,,4 g,0.05 µg,155.05 µg,27.37 mg,79.95 mg,1.72 mg,353.79 mg,4,2,,0,2,2,8,4,,7,0,17,30,6,10,8,12357
139 g,,250.0,,12 g,4.5 g,0 g,80 mg,125 mg,10 g,0 g,9 g,,26 g,1.13 µg,4.3 µg,1.4 mg,43.23 mg,1.24 mg,365.36 mg,16,22,,27,6,4,1,18,,52,6,0,2,3,7,8,12879
110 g,,170.0,,3.5 g,1 g,0 g,0 mg,50 mg,31 g,1 g,9 g,,5 g,0.7 µg,110.15 µg,4.83 mg,91.29 mg,1.57 mg,137.93 mg,4,4,,0,2,11,5,17,,11,4,12,5,7,9,3,12880
,,160.0,,17 g,2.5 g,0 g,0 mg,135 mg,2 g,0 g,0 g,,0 g,0.0 µg,36.07 µg,12.27 mg,18.27 mg,0.8 mg,67.89 mg,22,12,,0,6,1,3,1,,1,0,4,14,1,4,1,12881
119 g,,50.0,,1.5 g,0 g,0 g,0 mg,45 mg,8 g,3 g,2 g,,3 g,0.0 µg,36.27 µg,104.49 mg,56.63 mg,0.88 mg,373.53 mg,2,1,,0,2,3,11,4,,7,0,4,116,4,5,8,12884
677 g,,1960.0,,206 g,28 g,0 g,0 mg,1010 mg,34 g,11 g,16 g,,6 g,0.0 µg,162.95 µg,135.33 mg,209.53 mg,5.69 mg,1070.13 mg,264,143,,0,44,12,38,33,,12,0,18,150,16,32,23,12883
274 g,,690.0,,30 g,15 g,0 g,170 mg,500 mg,69 g,4 g,4 g,,35 g,0.6 µg,165.41 µg,6.66 mg,441.69 mg,5.07 mg,516.57 mg,38,73,,57,22,25,14,8,,71,3,18,7,34,28,11,12874
274 g,,190.0,,6 g,1.5 g,0 g,105 mg,140 mg,10 g,3 g,6 g,,25 g,0.03 µg,35.26 µg,17.32 mg,56.33 mg,2.36 mg,698.75 mg,8,7,,35,6,4,11,11,,49,0,4,19,4,13,15,12875
7.28 ea (206 g),,570.0,,14 g,5 g,0 g,0 mg,620 mg,98 g,4 g,3 g,,15 g,0.0 µg,86.99 µg,12.44 mg,334.79 mg,11.6 mg,213.81 mg,18,24,,0,27,36,14,6,,29,0,10,14,26,64,5,12876
,,170.0,,14 g,2 g,0 g,0 mg,115 mg,11 g,5 g,6 g,,2 g,0.0 µg,1.86 µg,4.02 mg,19.63 mg,0.54 mg,402.14 mg,18,10,,0,5,4,19,12,,4,0,0,4,2,3,9,12877
,,280.0,,15 g,8 g,0 g,50 mg,100 mg,35 g,3 g,26 g,,4 g,0.2 µg,83.77 µg,0.05 mg,39.65 mg,1.44 mg,145.14 mg,20,39,,17,4,13,9,51,,7,1,9,0,3,8,3,12878
3.15 cup (89 g),,150.0,,13 g,2 g,0 g,0 mg,135 mg,7 g,2 g,1 g,,1 g,0.0 µg,106.36 µg,8.05 mg,24.55 mg,0.78 mg,164.97 mg,17,9,,0,6,3,8,3,,3,0,12,9,2,4,4,12894
57 g,,30.0,,1.5 g,0 g,0 g,55 mg,40 mg,2 g,0 g,0 g,,2 g,0.29 µg,122.07 µg,4.08 mg,29.08 mg,0.6 mg,119.8 mg,2,2,,18,2,1,2,2,,5,1,14,5,2,3,3,12890
2.79 cup (79 g),,140.0,,12 g,1 g,0 g,0 mg,70 mg,8 g,2 g,2 g,,2 g,0.0 µg,7.21 µg,8.91 mg,22.9 mg,0.72 mg,141.77 mg,15,5,,0,3,3,8,5,,4,0,1,10,2,4,3,12891
,,35.0,,1.5 g,0 g,0 g,0 mg,40 mg,6 g,0 g,4 g,,0 g,0.0 µg,15.34 µg,12.92 mg,12.57 mg,0.3 mg,141.59 mg,2,1,,0,2,2,3,8,,1,0,2,14,1,2,3,12893
0.94 cup (27 g),,50.0,,4 g,0.5 g,0 g,0 mg,70 mg,3 g,0 g,0 g,,1 g,0.0 µg,0.65 µg,1.31 mg,16.86 mg,0.39 mg,39.8 mg,5,3,,0,3,1,3,1,,2,0,0,1,1,2,1,12892
6.73 cup (191 g),,150.0,,8 g,2 g,0 g,10 mg,270 mg,16 g,2 g,5 g,,5 g,0.06 µg,23.51 µg,7.26 mg,122.51 mg,0.53 mg,155.89 mg,10,10,,3,12,6,7,9,,10,0,3,8,9,3,3,12885
,,90.0,,6 g,1 g,0 g,0 mg,55 mg,9 g,4 g,3 g,,4 g,0.0 µg,23.4 µg,103.44 mg,53.02 mg,0.92 mg,466.17 mg,7,4,,0,2,3,13,5,,7,0,3,115,4,5,10,12900
531 g,,1140.0,,33 g,3 g,0 g,0 mg,3090 mg,181 g,12 g,9 g,,39 g,0.0 µg,41.9 µg,12.48 mg,445.67 mg,12.27 mg,332.3 mg,42,14,,0,134,66,45,18,,78,0,5,14,34,68,7,12898
226 g,,510.0,,17 g,2 g,0 g,120 mg,2120 mg,43 g,3 g,8 g,,45 g,0.0 µg,217.89 µg,2.92 mg,78.04 mg,3.46 mg,762.91 mg,22,10,,39,92,16,11,15,,89,0,24,3,6,19,16,12897
2.52 ea (71 g),,300.0,,15 g,9 g,0 g,20 mg,45 mg,37 g,2 g,20 g,,3 g,0.04 µg,47.04 µg,0.13 mg,13.94 mg,1.14 mg,59.65 mg,19,44,,7,2,13,8,41,,6,0,5,0,1,6,1,12901
200 g,,250.0,,18 g,2.5 g,0 g,0 mg,50 mg,12 g,5 g,4 g,,13 g,0.1 µg,13.88 µg,5.64 mg,75.38 mg,2.56 mg,822.48 mg,24,12,,0,2,5,19,7,,27,1,2,6,6,14,17,12899
,,200.0,,7 g,1 g,0 g,0 mg,25 mg,29 g,2 g,2 g,,5 g,0.0 µg,9.86 µg,4.46 mg,23.75 mg,1.48 mg,151.92 mg,9,5,,0,1,10,7,4,,10,0,1,5,2,8,3,12896
,,310.0,,6 g,0.5 g,0 g,0 mg,85 mg,61 g,3 g,3 g,,2 g,0.0 µg,3.12 µg,33.23 mg,43.17 mg,0.48 mg,444.39 mg,8,3,,0,4,22,11,5,,4,0,0,37,3,3,9,12888
,,80.0,,0 g,0 g,0 g,0 mg,115 mg,16 g,0 g,14 g,,0 g,0.0 µg,5.2 µg,12.62 mg,24.52 mg,0.55 mg,196.88 mg,0,0,,0,5,6,3,27,,1,0,1,14,2,3,4,885
130 g,,120.0,,5 g,1 g,0 g,145 mg,690 mg,3 g,0 g,0 g,,16 g,0.12 µg,79.63 µg,20.11 mg,65.64 mg,0.38 mg,174.15 mg,6,4,,48,30,1,2,2,,31,1,9,22,5,2,4,12886
,,170.0,,5 g,1 g,0 g,0 mg,280 mg,26 g,4 g,2 g,,5 g,0.0 µg,216.64 µg,12.08 mg,43.72 mg,1.24 mg,352.29 mg,7,4,,0,12,9,16,4,,10,0,24,13,3,7,7,12887
134 g,,60.0,,3.5 g,0.5 g,0 g,0 mg,35 mg,8 g,2 g,4 g,,2 g,0.0 µg,34.12 µg,16.12 mg,56.23 mg,0.55 mg,280.23 mg,5,3,,0,1,3,8,8,,3,0,4,18,4,3,6,12889
171 g,,260.0,,14 g,4.5 g,0 g,15 mg,85 mg,38 g,2 g,2 g,,9 g,0.0 µg,12.26 µg,5.54 mg,30.28 mg,1.93 mg,195.8 mg,18,23,,5,4,14,9,5,,19,0,1,6,2,11,4,12895
93 g,,110.0,,8 g,1 g,0 g,0 mg,100 mg,5 g,0 g,1 g,,3 g,0.0 µg,10.17 µg,38.3 mg,159.63 mg,0.6 mg,149.31 mg,11,5,,0,4,2,4,3,,7,0,1,43,12,3,3,12903
107 g,,140.0,,10 g,3.5 g,0 g,90 mg,140 mg,7 g,1 g,3 g,,8 g,0.3 µg,59.78 µg,5.57 mg,181.14 mg,0.87 mg,139.49 mg,12,18,,30,6,2,4,6,,16,2,7,6,14,5,3,12902
1.99 cup (56 g),,130.0,,12 g,2 g,0 g,0 mg,10 mg,4 g,1 g,1 g,,3 g,0.0 µg,8.67 µg,14.2 mg,26.15 mg,1.41 mg,83.64 mg,15,9,,0,0,1,5,3,,5,0,1,16,2,8,2,12912
165 g,,180.0,,2 g,0 g,0 g,0 mg,150 mg,33 g,8 g,6 g,,10 g,0.0 µg,161.82 µg,72.9 mg,83.7 mg,3.15 mg,687.79 mg,2,1,,0,7,12,27,12,,20,0,18,81,6,18,15,12911
1.5 ea (43 g),,190.0,,8 g,6 g,0 g,25 mg,75 mg,25 g,1 g,12 g,,2 g,0.07 µg,49.58 µg,0.0 mg,7.31 mg,0.86 mg,66.28 mg,11,30,,8,3,9,4,25,,4,0,6,0,1,5,1,1126
,,510.0,,31 g,11 g,0 g,130 mg,170 mg,2 g,0 g,0 g,,51 g,0.36 µg,10.29 µg,28.03 mg,19.89 mg,6.53 mg,709.84 mg,40,53,,43,7,1,3,2,,102,2,1,31,2,36,15,12910
1.99 cup (56 g),,130.0,,12 g,2 g,0 g,0 mg,10 mg,4 g,1 g,1 g,,3 g,0.0 µg,8.67 µg,14.2 mg,26.15 mg,1.41 mg,83.64 mg,15,9,,0,0,1,5,3,,5,0,1,16,2,8,2,12908
136 g,,170.0,,0.5 g,0 g,0 g,0 mg,10 mg,43 g,3 g,20 g,,2 g,0.0 µg,76.08 µg,25.0 mg,4.08 mg,0.82 mg,677.89 mg,1,1,,0,0,16,11,41,,4,0,8,28,0,5,14,12906
6.92 ea (196 g),,160.0,,10 g,1.5 g,0 g,0 mg,150 mg,8 g,2 g,3 g,,11 g,0.0 µg,16.23 µg,24.17 mg,245.0 mg,2.18 mg,308.64 mg,13,6,,0,7,3,8,5,,22,0,2,27,19,12,7,12905
151 g,,150.0,,8 g,1.5 g,0 g,0 mg,105 mg,17 g,4 g,10 g,,4 g,0.0 µg,1047.03 µg,9.56 mg,52.0 mg,1.57 mg,532.74 mg,11,6,,0,5,6,16,19,,7,0,116,11,4,9,11,12907
6.22 ea (176 g),,330.0,,9 g,3 g,0 g,5 mg,210 mg,59 g,6 g,30 g,,3 g,0.0 µg,19.11 µg,10.98 mg,25.61 mg,1.43 mg,125.86 mg,12,16,,2,9,22,21,60,,5,0,2,12,2,8,3,12909
191 g,,380.0,,23 g,3.5 g,0 g,105 mg,200 mg,3 g,0 g,0 g,,38 g,0.0 µg,28.54 µg,30.6 mg,37.55 mg,1.87 mg,1007.18 mg,29,17,,35,8,1,2,1,,77,0,3,34,3,10,21,12904
1.01 cup (29 g),,30.0,,2.5 g,1 g,0 g,0 mg,10 mg,2 g,0 g,1 g,,0 g,0.0 µg,1.38 µg,0.43 mg,2.72 mg,0.09 mg,18.17 mg,3,4,,0,0,1,1,3,,0,0,0,0,0,1,0,12922
209 g,,330.0,,16 g,3 g,0 g,145 mg,200 mg,8 g,3 g,0 g,,38 g,0.0 µg,75.83 µg,9.97 mg,93.78 mg,5.68 mg,603.88 mg,21,15,,48,9,3,11,1,,77,0,8,11,7,32,13,12920
227 g,,200.0,,12 g,2 g,0 g,0 mg,310 mg,18 g,7 g,2 g,,10 g,0.07 µg,53.35 µg,7.88 mg,105.49 mg,2.0 mg,190.48 mg,16,9,,0,13,7,27,5,,20,0,6,9,8,11,4,12921
,,190.0,,10 g,3.5 g,0 g,10 mg,140 mg,24 g,1 g,15 g,,2 g,0.08 µg,5.19 µg,0.03 mg,24.58 mg,0.54 mg,85.87 mg,12,17,,4,6,9,4,31,,5,0,1,0,2,3,2,12923
3 cup (85 g),,100.0,,8 g,1.5 g,0 g,3 mg,70 mg,5 g,2 g,2 g,,3 g,0.02 µg,32.78 µg,8.7 mg,71.49 mg,0.83 mg,158.49 mg,10,8,,1,3,2,7,5,,5,0,4,10,5,5,3,12917
2.98 cup (84 g),,100.0,,8 g,0.5 g,0 g,0 mg,35 mg,7 g,2 g,5 g,,0 g,0.0 µg,78.53 µg,31.06 mg,31.86 mg,0.52 mg,209.55 mg,10,3,,0,1,3,6,9,,2,0,9,35,2,3,4,12918
157 g,,70.0,,0.5 g,0 g,0 g,0 mg,45 mg,15 g,3 g,3 g,,3 g,0.0 µg,4.05 µg,30.05 mg,40.04 mg,0.91 mg,447.53 mg,1,1,,0,2,5,12,5,,5,0,0,33,3,5,10,12916
,,230.0,,7 g,2.5 g,0 g,115 mg,90 mg,8 g,1 g,5 g,,34 g,0.03 µg,47.62 µg,4.71 mg,75.57 mg,1.08 mg,587.62 mg,9,12,,38,4,3,5,9,,68,0,5,5,6,6,13,12913
